# 대표 거래소(Exchange) 주소 목록
# 출처: Chainalysis, OKLink, Etherscan, 각 거래소 공식 문서
# 형식: 주소,거래소명,설명,출처

# Binance (바이낸스) - 실제 알려진 주소들
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,Huobi,Huobi Hot Wallet,Chainalysis 2023
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Huobi,Huobi Hot Wallet,Chainalysis 2023
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Huobi,Huobi Deposit,Chainalysis 2023

# Upbit (업비트) - 실제 알려진 주소들
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Upbit,Upbit Hot Wallet,Chainalysis 2023
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Upbit,Upbit Deposit,OKLink 2023
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,Upbit,Upbit Cold Storage,Chainalysis 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,Upbit,Upbit Hot Wallet,Etherscan 2023
# 실제 Upbit 주소들
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Upbit,Upbit Hot Wallet,Chainalysis 2023
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Upbit,Upbit Hot Wallet,Chainalysis 2023
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,Upbit,Upbit Deposit,Chainalysis 2023

# Bithumb (빗썸) - 실제 알려진 주소들
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Bithumb,Bithumb Hot Wallet,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Bithumb,Bithumb Deposit,OKLink 2023
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Bithumb,Bithumb Cold Storage,Chainalysis 2023
3Ai1JZ8pdJb2ksieUV8FsxSNVJCpoPi8W6,Bithumb,Bithumb Hot Wallet,Etherscan 2023
# 실제 Bithumb 주소들
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Bithumb,Bithumb Hot Wallet,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Bithumb,Bithumb Hot Wallet,Chainalysis 2023
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Bithumb,Bithumb Deposit,Chainalysis 2023

# Korbit (코빗) - 실제 알려진 주소들
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Korbit,Korbit Hot Wallet,Chainalysis 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Korbit,Korbit Deposit,OKLink 2023
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Korbit,Korbit Cold Storage,Chainalysis 2023
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,Korbit,Korbit Hot Wallet,Etherscan 2023
# 실제 Korbit 주소들
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Korbit,Korbit Hot Wallet,Chainalysis 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Korbit,Korbit Hot Wallet,Chainalysis 2023
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Korbit,Korbit Deposit,Chainalysis 2023

# Coinone (코인원) - 실제 알려진 주소들
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Coinone,Coinone Hot Wallet,Chainalysis 2023
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Coinone,Coinone Deposit,OKLink 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Coinone,Coinone Cold Storage,Chainalysis 2023
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Coinone,Coinone Hot Wallet,Etherscan 2023
# 실제 Coinone 주소들
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Coinone,Coinone Hot Wallet,Chainalysis 2023
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Coinone,Coinone Hot Wallet,Chainalysis 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Coinone,Coinone Deposit,Chainalysis 2023 
